30.10.2024, 16:12
Статистика проекта

                    	Сегменты	 Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	   66147	668095	               4052836	              4654974	              122	
Осталось:           	   25632	381996	               2133634	              2490787	               83	
Уникальные:         	   54088	584871	               3529683	              4060759	              122	
Осталось уникальных:	   22013	336937	               1878942	              2194414	               83	


Статистика по отдельным файлам:

Имя файла                                                               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (с пробелами)	Осталось символов (с пробелами)	Уникальные символы (с пробелами)	Осталось уникальных символов (с пробелами)	
localisation/russian/replace/acot_00_databank_l_russian.yml             	           1168	               795	               1066	                          777	     15020	        11960	           14487	                   11833	                        77174	                           60197	                            73842	                                      59537	                       90928	                          71298	                           87181	                                     70531	
localisation/russian/replace/acot_00_deposits_l_russian.yml             	             27	                27	                 24	                           24	        66	           66	              62	                      62	                          946	                             946	                              889	                                        889	                        1012	                           1012	                             951	                                       951	
localisation/russian/replace/acot_00_digsites_l_russian.yml             	            356	               251	                298	                          199	      4977	         4004	            4075	                    3146	                        25068	                           20419	                            20415	                                      15966	                       29657	                          24138	                           24164	                                     18883	
localisation/russian/replace/acot_00_diplo_l_russian.yml                	            766	               609	                726	                          588	     10183	         8989	            9972	                    8816	                        48927	                           42962	                            47791	                                      42065	                       58342	                          51338	                           57028	                                     50287	
localisation/russian/replace/acot_00_districts_l_russian.yml            	            163	                33	                137	                           28	      1572	          535	            1370	                     454	                         9631	                            2860	                             8153	                                       2441	                       11040	                           3362	                            9386	                                      2867	
localisation/russian/replace/acot_00_exterminatus_events_l_russian.yml  	            253	                80	                188	                           58	      2328	         1167	            1759	                     817	                        13299	                            6470	                            10229	                                       4615	                       15377	                           7569	                           11817	                                      5384	
localisation/russian/replace/acot_00_generic_technology_l_russian.yml   	            117	                78	                111	                           77	      1142	         1028	            1118	                    1023	                         6190	                            5313	                             5993	                                       5256	                        7225	                           6267	                            7006	                                      6204	
localisation/russian/replace/acot_00_herculean_events_l_russian.yml     	            448	               330	                425	                          324	      5863	         5103	            5784	                    5054	                        28822	                           24774	                            28369	                                      24543	                       34247	                          29546	                           33736	                                     29271	
localisation/russian/replace/acot_00_jobs_l_russian.yml                 	            400	                85	                347	                           81	      2974	         1296	            2716	                    1248	                        17915	                            6564	                            16186	                                       6319	                       20487	                           7774	                           18553	                                      7485	
localisation/russian/replace/acot_00_modifiers_l_russian.yml            	             61	                24	                 60	                           24	       155	           66	             154	                      66	                         2301	                             710	                             2282	                                        710	                        2409	                            752	                            2390	                                       752	
localisation/russian/replace/acot_00_options_l_russian.yml              	            312	               232	                225	                          164	      2782	         2165	            2326	                    1822	                        15540	                           12168	                            12834	                                      10046	                       18017	                          14109	                           14942	                                     11712	
localisation/russian/replace/acot_00_origins_l_russian.yml              	            191	               150	                159	                          126	      1987	         1693	            1681	                    1458	                         9771	                            8174	                             8258	                                       7043	                       11569	                           9720	                            9782	                                      8378	
localisation/russian/replace/acot_00_planets_l_russian.yml              	            225	                75	                184	                           60	      2358	          916	            2013	                     737	                        13008	                            4722	                            11093	                                       3885	                       15157	                           5576	                           12941	                                      4575	
localisation/russian/replace/acot_00_pmc_events_l_russian.yml           	           1633	               965	               1398	                          864	     16284	        11619	           14600	                   10506	                        84945	                           59042	                            75632	                                      53323	                       99459	                          69558	                           88698	                                     62830	
localisation/russian/replace/acot_00_pmc_l_russian.yml                  	           1192	               423	                633	                          206	      8430	         5223	            4762	                    2796	                        46322	                           26956	                            26294	                                      14402	                       53542	                          31751	                           30406	                                     16988	
localisation/russian/replace/acot_00_pmc_mercs_l_russian.yml            	            242	               181	                219	                          168	      2445	         2184	            2365	                    2125	                        11966	                           10699	                            11566	                                      10425	                       14130	                          12663	                           13673	                                     12344	
localisation/russian/replace/acot_00_sections_l_russian.yml             	            480	                44	                391	                           44	      2365	          704	            2124	                     704	                        14228	                            3571	                            12746	                                       3571	                       16111	                           4230	                           14477	                                      4230	
localisation/russian/replace/acot_00_special_menu_l_russian.yml         	             42	                20	                 40	                           20	       384	          185	             373	                     185	                         2109	                             996	                             2028	                                        996	                        2457	                           1165	                            2367	                                      1165	
localisation/russian/replace/acot_00_startup_l_russian.yml              	            300	                57	                128	                           44	      2024	          498	             944	                     406	                         9777	                            2258	                             4488	                                       1848	                       11500	                           2697	                            5303	                                      2208	
localisation/russian/replace/acot_00_technology_events_l_russian.yml    	            408	               189	                310	                          152	      3510	         2384	            2818	                    2032	                        18478	                           12357	                            14757	                                      10442	                       21585	                          14553	                           17266	                                     12321	
localisation/russian/replace/acot_00_trait_l_russian.yml                	             14	                 8	                 13	                            8	       168	          152	             165	                     152	                          893	                             792	                              875	                                        792	                        1047	                            936	                            1027	                                       936	
localisation/russian/replace/acot_00_wih_l_russian.yml                  	            191	               135	                165	                          117	      1913	         1522	            1716	                    1344	                         9585	                            7725	                             8563	                                       6791	                       11326	                           9127	                           10131	                                      8031	
localisation/russian/replace/acot_01_boss_l_russian.yml                 	            179	                80	                140	                           73	      1189	          822	            1082	                     786	                         6561	                            4375	                             5883	                                       4168	                        7573	                           5119	                            6825	                                      4882	
localisation/russian/replace/acot_01_enigmatic_technology_l_russian.yml 	            266	               121	                189	                          100	      3598	         2447	            2738	                    1990	                        19514	                           12470	                            14954	                                      10264	                       22838	                          14795	                           17500	                                     12154	
localisation/russian/replace/acot_02_delta_technology_l_russian.yml     	            615	               221	                402	                          117	      6717	         3814	            4012	                    2152	                        39165	                           20881	                            23675	                                      11826	                       45246	                          24467	                           27267	                                     13853	
localisation/russian/replace/acot_03_alpha_events_l_russian.yml         	            245	               157	                218	                          149	      2863	         2019	            2717	                    1999	                        14309	                            9887	                            13474	                                       9775	                       16935	                          11756	                           15980	                                     11631	
localisation/russian/replace/acot_03_alpha_technology_l_russian.yml     	            516	               190	                325	                          111	      5859	         3038	            3550	                    1818	                        33928	                           16318	                            20472	                                       9434	                       39262	                          19166	                           23688	                                     11141	
localisation/russian/replace/acot_03_cetanacosmo_l_russian.yml          	            263	               140	                212	                          114	      2410	         1804	            2025	                    1507	                        12954	                            9327	                            11045	                                       7953	                       15096	                          10984	                           12853	                                      9340	
localisation/russian/replace/acot_03_precursor_technology_l_russian.yml 	           1718	               337	               1344	                          234	     14114	         5458	           10079	                    3727	                        87737	                           29575	                            63819	                                      20276	                      100149	                          34701	                           72554	                                     23763	
localisation/russian/replace/acot_04_stellarite_events_l_russian.yml    	            495	               302	                379	                          244	      4848	         3838	            3917	                    3095	                        25026	                           18900	                            20131	                                      15367	                       29364	                          22427	                           23653	                                     18207	
localisation/russian/replace/acot_04_stellarite_technology_l_russian.yml	            468	               124	                309	                           67	      5249	         1967	            2858	                    1108	                        31334	                           10987	                            17175	                                       6133	                       36107	                          12829	                           19716	                                      7173	
